mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms,zcr,centroid,label
-414.56082,85.700966,-38.380238,17.516953,-22.285517,2.6842752,-3.033172,19.534014,12.457146,11.332679,2.1558065,7.948274,-11.325022,0.011796621,0.09401004250478927,4552.874394107973,1
-447.52222,99.55168,-26.304077,0.52767915,-19.456583,8.953945,3.4888754,10.166102,6.0417433,9.146744,1.6155523,2.4239879,-6.893435,0.010025855,0.0790424228454969,3934.048984061289,1
-405.31882,79.36014,-54.14252,16.886967,-22.592995,11.495841,-4.0699086,13.795982,8.297353,20.026892,0.70757806,8.685529,-15.505964,0.010323122,0.11132378472222222,4738.625737247747,1
-452.4396,90.99019,-38.546684,16.99416,-14.740948,10.015522,-3.7344193,10.795278,8.658973,14.727766,-0.5902375,4.914587,-11.818464,0.0072585023,0.10073821504237288,4477.810130157173,1
-414.807,88.51258,-50.991585,17.939056,-20.431154,9.919461,-6.5883937,12.932302,11.264502,19.468817,-1.6228833,4.366606,-12.936104,0.009306666,0.1042058860441767,4476.064692516073,1
-452.91782,101.64821,-31.6081,19.855898,-12.794266,9.725093,-1.3831594,15.266778,8.484511,11.759667,-2.3725257,6.248968,-9.561718,0.0076399366,0.08357401097074468,4138.102479520119,1
-428.51996,99.87413,-34.14225,19.701323,-17.816074,6.973277,-0.7598144,18.641857,7.184271,8.447651,0.02137685,3.4500356,-13.005668,0.009398933,0.08700539568345324,4182.246251843026,1
-426.75586,92.10207,-33.410824,8.463919,-15.214654,5.473169,2.4692326,16.508522,9.690539,10.762928,1.88001,2.4492283,-6.455343,0.0103308195,0.08847380189929328,4154.510038928068,1
-438.6844,93.87102,-28.616644,9.428115,-21.889862,9.664285,2.1532695,10.845234,6.0248833,12.408144,2.8470252,3.1625621,-6.3372726,0.009474211,0.08947464247881357,4334.263308493906,1
-435.46558,107.39863,-30.628881,5.853003,-21.184965,14.722912,4.4250064,11.545271,5.7275076,12.599943,2.1309502,4.8021154,-6.3471966,0.010027087,0.07569635927287582,3921.5924100911,1
-445.1831,91.534546,-32.870075,11.028446,-22.062202,6.021821,0.62032133,14.841319,8.0008955,11.07829,1.4208171,3.2407908,-8.644923,0.009758868,0.09800586527567975,4451.107620676953,1
-420.9179,86.47227,-32.799896,9.357002,-25.487135,3.6277573,0.041467268,16.214737,9.07507,9.357586,-2.1343791,2.3371375,-9.242004,0.012073316,0.09922274957337884,4517.421782249327,1
-455.72098,89.185036,-28.826605,12.529084,-21.202616,2.115805,0.8770726,15.3122835,9.233661,8.283874,0.10057937,2.6116974,-8.391979,0.008749113,0.10018670450227964,4501.796114612334,1
-463.5043,106.481514,-18.926365,0.6395746,-15.080364,10.789735,4.0170093,11.345844,5.9211564,9.900668,-3.7378228,2.678909,-4.946259,0.0075860424,0.07972621058558559,3991.166691299869,1
-417.3731,94.65061,-36.325676,6.8738604,-25.067661,12.525125,0.6013259,11.135192,4.437201,14.3871355,-1.1096817,6.2473426,-8.826332,0.010165885,0.09627552961142322,4398.13327719529,1
-447.9995,102.96984,-28.86717,6.1173587,-18.72994,10.69269,1.8613198,10.595086,5.647268,10.563352,-1.5352097,4.5265017,-7.554222,0.0072477437,0.08545873955431754,4155.653194765119,1
-424.91553,102.78736,-38.174812,10.340521,-21.345432,12.909409,-1.5428296,12.858342,7.1925607,14.563182,-3.837816,6.251533,-11.211057,0.008297988,0.09091138082837301,4215.111833353475,1
-426.9123,96.96414,-37.25252,12.301563,-21.726473,15.069469,-2.2731123,13.230064,3.673969,16.353413,-2.084726,6.586159,-11.697582,0.008137785,0.09595154879385964,4427.566580149966,1
-416.88538,100.93398,-33.418377,2.9076035,-22.99828,12.399227,3.074461,12.995361,11.240443,15.252682,1.4491158,6.5287576,-5.7651825,0.010772001,0.07616126019021739,3987.422018536784,1
-433.64487,98.383125,-32.476513,7.190087,-23.532995,11.4801035,-1.0169764,13.153465,7.3767133,16.436447,-2.0198648,6.306056,-8.237937,0.00888602,0.08929009218096234,4340.176929818654,1
-425.7159,106.57159,-29.1942,1.3771112,-18.515598,10.977018,3.1429455,11.595345,6.621389,9.112956,1.9739157,4.2800345,-6.3966556,0.010414597,0.07861770675981873,3810.1617999853725,1
-412.4816,104.91831,-32.964123,6.2300577,-24.164986,10.963006,-1.3657023,14.303101,7.1089187,15.187927,-2.2752051,6.1236367,-6.237766,0.010500963,0.08296712239583333,4121.7641194988755,1
